UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),BUMIPUTERA SABAH(MUSLIM) (%),BUMIPUTERA SABAH(NON-MUSLIM) (%),BUMIPUTERA SARAWAK(MUSLIM) (%),BUMIPUTERA SARAWAK(NON-MUSLIM) (%),ORANG ASLI (%),OTHERS (%),URBAN-RURAL CLASSIFICATION (1947)
P.13,KEDAH,P.13,SUNGAI PETANI,21500,38.2,39.4,20.2,0.0,0.0,0.0,0.0,0.0,2.2,URBAN
P.14,KEDAH,P.14,PADANG SERAI,16400,44.5,22.4,32.4,0.0,0.0,0.0,0.0,0.0,0.7,RURAL
P.15,KEDAH,P.15,KULIM-BANDAR BAHRU,18900,51.2,28.4,19.2,0.0,0.0,0.0,0.0,0.0,1.2,SEMI URBAN
P.16,KELANTAN,P.16,TUMPAT,19400,92.4,4.2,0.8,0.0,0.0,0.0,0.0,0.0,2.6,RURAL
P.17,KELANTAN,P.17,PENGKALAN CHEPA,18100,96.4,2.2,0.4,0.0,0.0,0.0,0.0,0.0,1.0,RURAL
P.18,KELANTAN,P.18,PASIR MAS,20200,94.5,4.1,0.6,0.0,0.0,0.0,0.0,0.0,0.8,RURAL
P.19,KELANTAN,P.19,KOTA BHARU,26500,82.4,14.2,2.1,0.0,0.0,0.0,0.0,0.0,1.3,URBAN
P.20,KELANTAN,P.20,BACHOK,18400,97.8,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.6,RURAL
P.21,KELANTAN,P.21,RANTAU PANJANG,15200,95.1,3.4,0.4,0.0,0.0,0.0,0.0,0.0,1.1,RURAL
P.22,KELANTAN,P.22,NILAM PURI,17400,96.8,2.2,0.3,0.0,0.0,0.0,0.0,0.0,0.7,RURAL
P.23,KELANTAN,P.23,TANAH MERAH,14200,92.4,4.8,2.1,0.0,0.0,0.0,0.0,0.2,0.5,RURAL
P.24,KELANTAN,P.24,MACHANG,15800,94.8,3.2,1.2,0.0,0.0,0.0,0.0,0.0,0.8,RURAL
P.25,KELANTAN,P.25,PASIR PUTEH,17900,96.2,2.4,0.6,0.0,0.0,0.0,0.0,0.0,0.8,RURAL
P.26,KELANTAN,P.26,KUALA KERAI,11400,84.2,8.4,6.4,0.0,0.0,0.0,0.0,0.4,0.6,RURAL
P.27,KELANTAN,P.27,ULU KELANTAN,9200,86.5,5.2,3.1,0.0,0.0,0.0,0.0,4.8,0.4,RURAL
P.28,TERENGGANU,P.28,BESUT,16400,96.8,2.4,0.2,0.0,0.0,0.0,0.0,0.0,0.6,RURAL
P.29,TERENGGANU,P.29,ULU NERUS,13200,98.2,1.1,0.1,0.0,0.0,0.0,0.0,0.0,0.6,RURAL
P.30,TERENGGANU,P.30,ULU TRENGGANU,12800,98.6,0.8,0.1,0.0,0.0,0.0,0.0,0.2,0.3,RURAL
P.31,TERENGGANU,P.31,KUALA NERUS,15400,97.4,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,RURAL
P.32,TERENGGANU,P.32,KUALA TRENGGANU,23100,88.4,10.2,0.8,0.0,0.0,0.0,0.0,0.0,0.6,URBAN
P.33,TERENGGANU,P.33,DUNGUN,14500,94.2,4.4,0.8,0.0,0.0,0.0,0.0,0.1,0.5,RURAL
P.34,TERENGGANU,P.34,KEMAMAN,15200,91.5,6.8,1.2,0.0,0.0,0.0,0.0,0.0,0.5,RURAL
P.35,PULAU PINANG,P.35,KEPALA BATAS,17200,72.4,21.2,6.1,0.0,0.0,0.0,0.0,0.0,0.3,RURAL
P.36,PULAU PINANG,P.36,MATA KUCHING,18400,42.1,44.5,13.1,0.0,0.0,0.0,0.0,0.0,0.3,SEMI URBAN
P.37,PULAU PINANG,P.37,PERMATANG PAUH,16800,75.4,18.2,6.1,0.0,0.0,0.0,0.0,0.0,0.3,RURAL
P.38,PULAU PINANG,P.38,BUKIT MERTAJAM,21200,32.4,52.4,14.8,0.0,0.0,0.0,0.0,0.0,0.4,SEMI URBAN
P.39,PULAU PINANG,P.39,NIBONG TEBAL,16100,48.2,31.4,20.1,0.0,0.0,0.0,0.0,0.0,0.3,RURAL
P.40,PULAU PINANG,P.40,BALIK PULAU,14800,62.4,32.5,4.8,0.0,0.0,0.0,0.0,0.0,0.3,RURAL
P.41,PULAU PINANG,P.41,BUKIT BENDERA,24500,22.1,64.2,12.2,0.0,0.0,0.0,0.0,0.0,1.5,URBAN
P.42,PULAU PINANG,P.42,TANJONG,31200,8.4,82.4,8.1,0.0,0.0,0.0,0.0,0.0,1.1,URBAN
P.43,PULAU PINANG,P.43,JELUTONG,28600,18.2,70.1,10.8,0.0,0.0,0.0,0.0,0.0,0.9,URBAN
P.44,PERAK,P.44,GERIK,8400,68.2,18.1,4.2,0.0,0.0,0.0,0.0,9.2,0.3,RURAL
P.45,PERAK,P.45,LARUT,14200,84.1,10.2,5.2,0.0,0.0,0.0,0.0,0.2,0.3,RURAL
P.46,PERAK,P.46,PARIT BUNTAR,16500,65.4,24.1,10.2,0.0,0.0,0.0,0.0,0.0,0.3,RURAL
P.47,PERAK,P.47,BAGAN SERAI,17200,74.2,16.4,9.1,0.0,0.0,0.0,0.0,0.0,0.3,RURAL
P.48,PERAK,P.48,SUNGAI SIPUT,15400,32.4,45.2,18.4,0.0,0.0,0.0,0.0,3.6,0.4,SEMI URBAN
P.49,PERAK,P.49,TAIPING,24100,24.2,55.4,18.8,0.0,0.0,0.0,0.0,0.1,1.5,URBAN
P.50,PERAK,P.50,MATANG,15800,68.4,22.1,9.2,0.0,0.0,0.0,0.0,0.1,0.2,RURAL
P.51,PERAK,P.51,PADANG RENGAS,13200,78.2,14.1,7.2,0.0,0.0,0.0,0.0,0.3,0.2,RURAL
P.52,PERAK,P.52,KUALA KANGSAR,16100,72.4,18.2,8.4,0.0,0.0,0.0,0.0,0.6,0.4,SEMI URBAN
P.53,PERAK,P.53,KINTA,19800,18.4,68.2,12.8,0.0,0.0,0.0,0.0,0.2,0.4,SEMI URBAN
P.54,PERAK,P.54,IPOH,232400,12.2,74.4,12.1,0.0,0.0,0.0,0.0,0.0,1.3,URBAN
P.55,PERAK,P.55,MENGLEMBU,24200,8.2,85.1,6.4,0.0,0.0,0.0,0.0,0.0,0.3,URBAN
P.56,PERAK,P.56,BERUAS,15400,34.2,52.4,13.2,0.0,0.0,0.0,0.0,0.0,0.2,RURAL
P.57,PERAK,P.57,PARIT,14800,88.4,8.1,3.2,0.0,0.0,0.0,0.0,0.1,0.2,RURAL
P.58,PERAK,P.58,BATU GAJAH,21400,15.4,72.2,12.1,0.0,0.0,0.0,0.0,0.1,0.2,URBAN
P.59,PERAK,P.59,BATANG PADANG,16800,38.4,42.1,16.4,0.0,0.0,0.0,0.0,2.8,0.3,RURAL
P.60,PERAK,P.60,LUMUT,15200,52.1,38.4,9.2,0.0,0.0,0.0,0.0,0.0,0.3,SEMI URBAN
P.61,PERAK,P.61,HILIR PERAK,18200,64.2,22.4,13.2,0.0,0.0,0.0,0.0,0.0,0.2,RURAL
P.62,PERAK,P.62,TELOK ANSON,21800,32.4,48.2,18.8,0.0,0.0,0.0,0.0,0.0,0.6,URBAN
P.63,PERAK,P.63,TANJONG MALIM,15400,42.4,38.1,18.2,0.0,0.0,0.0,0.0,1.1,0.2,SEMI URBAN
P.64,PERAK,P.64,BAGAN DATOK,16100,68.4,15.2,16.2,0.0,0.0,0.0,0.0,0.0,0.2,RURAL
P.65,PAHANG,P.65,LIPIS,11200,74.2,18.4,5.1,0.0,0.0,0.0,0.0,2.1,0.2,RURAL
P.66,PAHANG,P.66,JERANTUT,9400,82.4,12.1,2.2,0.0,0.0,0.0,0.0,3.1,0.2,RURAL
P.67,PAHANG,P.67,KUANTAN,16800,62.4,30.2,6.4,0.0,0.0,0.0,0.0,0.8,0.2,SEMI URBAN
P.68,PAHANG,P.68,RAUB,13400,48.2,44.1,6.2,0.0,0.0,0.0,0.0,1.2,0.3,SEMI URBAN
P.69,PAHANG,P.69,MARAN,10200,85.4,8.2,3.1,0.0,0.0,0.0,0.0,3.1,0.2,RURAL
P.70,PAHANG,P.70,BENTONG,14200,35.4,56.2,7.2,0.0,0.0,0.0,0.0,1.0,0.2,SEMI URBAN
P.71,PAHANG,P.71,PEKAN,12400,94.2,4.1,1.1,0.0,0.0,0.0,0.0,0.4,0.2,RURAL
P.72,PAHANG,P.72,TEMERLOH,14800,78.2,14.4,5.1,0.0,0.0,0.0,0.0,2.1,0.2,RURAL
P.73,SELANGOR,P.73,SABAK BERNAM,12800,82.4,14.2,3.2,0.0,0.0,0.0,0.0,0.0,0.2,RURAL
P.74,SELANGOR,P.74,TANJONG KARANG,13400,78.2,16.4,5.2,0.0,0.0,0.0,0.0,0.0,0.2,RURAL
P.75,SELANGOR,P.75,ULU SELANGOR,14800,38.4,45.2,15.1,0.0,0.0,0.0,0.0,1.1,0.2,RURAL
P.76,SELANGOR,P.76,KUALA SELANGOR,15600,62.1,22.4,15.2,0.0,0.0,0.0,0.0,0.1,0.2,RURAL
P.77,SELANGOR,P.77,SELAYANG,18400,32.4,52.1,15.2,0.0,0.0,0.0,0.0,0.1,0.2,SEMI URBAN
P.78,SELANGOR,P.78,ULU LANGAT,17200,45.2,42.4,11.2,0.0,0.0,0.0,0.0,1.0,0.2,RURAL
P.79,SELANGOR,P.79,PELABOHAN KELANG,21200,34.2,42.1,22.4,0.0,0.0,0.0,0.0,0.0,1.3,URBAN
P.80,SELANGOR,P.80,SHAH ALAM,14200,58.4,25.2,16.1,0.0,0.0,0.0,0.0,0.1,0.2,RURAL
P.81,SELANGOR,P.81,PETALING,22800,24.2,62.4,12.2,0.0,0.0,0.0,0.0,0.0,1.2,URBAN
P.82,SELANGOR,P.82,KUALA LANGAT,15100,56.4,24.2,19.2,0.0,0.0,0.0,0.0,0.1,0.1,RURAL
P.83,SELANGOR,P.83,SEPANG,13200,42.1,32.4,25.2,0.0,0.0,0.0,0.0,0.1,0.2,RURAL
P.84,SELANGOR,P.84,KEPONG,24100,10.2,82.4,6.4,0.0,0.0,0.0,0.0,0.0,1.0,URBAN
P.85,SELANGOR,P.85,SETAPAK,22400,28.4,58.2,12.2,0.0,0.0,0.0,0.0,0.0,1.2,URBAN
P.86,SELANGOR,P.86,DAMANSARA,21800,18.4,70.2,10.4,0.0,0.0,0.0,0.0,0.0,1.0,URBAN
P.87,SELANGOR,P.87,KUALA LUMPUR BANDAR,348500,12.4,72.2,12.8,0.0,0.0,0.0,0.0,0.0,2.6,URBAN
P.88,SELANGOR,P.88,SUNGAI BESI,23200,20.2,65.4,13.2,0.0,0.0,0.0,0.0,0.0,1.2,URBAN
P.89,NEGERI SEMBILAN,P.89,JELEBU,10800,62.4,30.2,5.1,0.0,0.0,0.0,0.0,2.1,0.2,RURAL
P.90,NEGERI SEMBILAN,P.90,MANTIN,12400,32.4,52.2,15.2,0.0,0.0,0.0,0.0,0.1,0.1,RURAL
P.91,NEGERI SEMBILAN,P.91,SEREMBAN,25400,20.4,60.2,18.2,0.0,0.0,0.0,0.0,0.0,1.2,URBAN
P.92,NEGERI SEMBILAN,P.92,KUALA PILAH,15200,78.4,16.2,5.1,0.0,0.0,0.0,0.0,0.2,0.1,RURAL
P.93,NEGERI SEMBILAN,P.93,TELOK KEMANG,14100,42.2,32.1,25.4,0.0,0.0,0.0,0.0,0.2,0.1,RURAL
P.94,NEGERI SEMBILAN,P.94,TAMPIN,14800,58.4,28.2,13.2,0.0,0.0,0.0,0.0,0.1,0.1,RURAL
P.95,MELAKA,P.95,ALOR GAJAH,16200,72.4,18.4,9.1,0.0,0.0,0.0,0.0,0.0,0.1,RURAL
P.96,MELAKA,P.96,JASIN,15800,68.4,20.2,11.2,0.0,0.0,0.0,0.0,0.1,0.1,RURAL
P.97,MELAKA,P.97,BATU BERENDAM,18400,64.2,25.4,10.2,0.0,0.0,0.0,0.0,0.0,0.2,SEMI URBAN
P.98,MELAKA,P.98,KOTA MELAKA,126400,24.2,65.4,8.8,0.0,0.0,0.0,0.0,0.0,1.6,URBAN
P.99,JOHOR,P.99,LABIS,12400,42.1,44.2,13.5,0.0,0.0,0.0,0.0,0.1,0.1,RURAL
P.100,JOHOR,P.100,SEGAMAT,15800,48.4,40.2,11.2,0.0,0.0,0.0,0.0,0.1,0.1,SEMI URBAN
P.101,JOHOR,P.101,KELUANG,17200,42.4,45.2,12.1,0.0,0.0,0.0,0.0,0.2,0.1,SEMI URBAN
P.102,JOHOR,P.102,TENGGAROH,11800,78.4,16.2,4.8,0.0,0.0,0.0,0.0,0.5,0.1,RURAL
P.103,JOHOR,P.103,LEDANG,16400,58.2,32.4,9.2,0.0,0.0,0.0,0.0,0.1,0.1,RURAL
P.104,JOHOR,P.104,PAGOH,15200,72.4,22.1,5.2,0.0,0.0,0.0,0.0,0.2,0.1,RURAL
P.105,JOHOR,P.105,AYER HITAM,14800,56.2,38.4,5.2,0.0,0.0,0.0,0.0,0.1,0.1,RURAL
P.106,JOHOR,P.106,MUAR,22400,52.4,40.2,6.8,0.0,0.0,0.0,0.0,0.0,0.6,URBAN
P.107,JOHOR,P.107,RENGGAM,14200,44.2,42.1,13.4,0.0,0.0,0.0,0.0,0.2,0.1,RURAL
P.108,JOHOR,P.108,PANTI,12800,74.2,20.4,4.8,0.0,0.0,0.0,0.0,0.5,0.1,RURAL
P.109,JOHOR,P.109,SRI GADING,16400,72.4,24.2,3.2,0.0,0.0,0.0,0.0,0.1,0.1,RURAL
P.110,JOHOR,P.110,SEMERAH,15800,82.4,15.2,2.2,0.0,0.0,0.0,0.0,0.1,0.1,RURAL
P.111,JOHOR,P.111,BATU PAHAT,24200,54.2,40.1,5.2,0.0,0.0,0.0,0.0,0.0,0.5,URBAN
P.112,JOHOR,P.112,PONTIAN,16800,68.4,28.2,3.2,0.0,0.0,0.0,0.0,0.1,0.1,RURAL
P.113,JOHOR,P.113,PULAI,19400,48.2,40.4,11.2,0.0,0.0,0.0,0.0,0.1,0.1,SEMI URBAN
P.114,JOHOR,P.114,JOHOR BAHRU,28500,38.4,48.2,12.4,0.0,0.0,0.0,0.0,0.0,1.0,URBAN
P.115,SARAWAK,P.115,BAU-LUNDU,8400,10.2,25.1,0.2,0.0,0.0,2.1,62.1,0.0,0.3,RURAL
P.116,SARAWAK,P.116,BANDAR KUCHING,16400,18.4,72.2,1.2,0.0,0.0,3.1,4.2,0.0,0.9,URBAN
P.117,SARAWAK,P.117,SANTUBONG,9800,78.2,12.4,0.1,0.0,0.0,5.2,3.8,0.0,0.3,RURAL
P.118,SARAWAK,P.118,SAMARAHAN,10200,65.4,18.2,0.1,0.0,0.0,12.1,4.0,0.0,0.2,RURAL
P.119,SARAWAK,P.119,PADAWAN,11200,8.2,35.4,0.4,0.0,0.0,2.8,52.8,0.0,0.4,RURAL
P.120,SARAWAK,P.120,SERIAN,9400,4.2,18.2,0.2,0.0,0.0,1.2,76.0,0.0,0.2,RURAL
P.121,SARAWAK,P.121,SIMUNJAN,8800,52.4,12.1,0.1,0.0,0.0,8.2,27.0,0.0,0.2,RURAL
P.122,SARAWAK,P.122,BATANG LUPAR,10500,45.2,15.4,0.1,0.0,0.0,4.2,34.8,0.0,0.3,RURAL
P.123,SARAWAK,P.123,LUBOK ANTU,7400,2.1,8.4,0.1,0.0,0.0,0.2,89.1,0.0,0.1,RURAL
P.124,SARAWAK,P.124,BETONG,9200,32.4,12.2,0.1,0.0,0.0,2.2,53.0,0.0,0.1,RURAL
P.125,SARAWAK,P.125,SARATOK,8600,38.2,10.4,0.1,0.0,0.0,5.1,46.0,0.0,0.2,RURAL
P.126,SARAWAK,P.126,SARIKEI,11400,12.4,52.1,0.2,0.0,0.0,4.2,30.8,0.0,0.3,SEMI URBAN
P.127,SARAWAK,P.127,PAYANG,9800,24.2,42.4,0.2,0.0,0.0,8.2,24.8,0.0,0.2,RURAL
P.128,SARAWAK,P.128,BANDAR SIBU,14200,12.2,78.4,0.4,0.0,0.0,2.4,6.2,0.0,0.4,URBAN
P.129,SARAWAK,P.129,RAJANG,8200,18.4,22.1,0.1,0.0,0.0,15.2,44.0,0.0,0.2,RURAL
P.130,SARAWAK,P.130,MUKAH,9100,15.2,10.4,0.1,0.0,0.0,65.2,8.8,0.0,0.3,RURAL
P.131,SARAWAK,P.131,JULAU,6800,1.2,8.2,0.1,0.0,0.0,0.2,90.2,0.0,0.1,RURAL
P.132,SARAWAK,P.132,KANOWIT,7200,4.2,12.4,0.1,0.0,0.0,0.4,82.8,0.0,0.1,RURAL
P.133,SARAWAK,P.133,KAPIT,6400,2.1,10.2,0.1,0.0,0.0,0.2,87.2,0.0,0.2,RURAL
P.134,SARAWAK,P.134,ULU RAJANG,5800,1.4,5.4,0.1,0.0,0.0,0.1,92.8,0.0,0.2,RURAL
P.135,SARAWAK,P.135,BINTULU,8600,22.4,28.2,0.2,0.0,0.0,18.2,30.8,0.0,0.2,SEMI URBAN
P.136,SARAWAK,P.136,MIRI-SUBIS,12400,18.2,45.4,1.8,0.0,0.0,12.4,21.8,0.0,0.4,URBAN
P.137,SARAWAK,P.137,BARAM,7800,10.2,12.4,0.1,0.0,0.0,5.1,72.0,0.0,0.2,RURAL
P.138,SARAWAK,P.138,LIMBANG-LAWAS,8200,32.4,14.2,0.2,0.0,0.0,22.1,30.8,0.0,0.3,RURAL
P.139,SABAH,P.139,MARUDU,5200,2.1,8.4,0.1,28.2,61.0,0.0,0.0,0.0,0.2,RURAL
P.140,SABAH,P.140,BANDAU,5400,1.8,6.2,0.1,32.4,59.2,0.0,0.0,0.0,0.3,RURAL
P.141,SABAH,P.141,KOTA BELUD,6800,4.2,10.4,0.2,52.4,32.6,0.0,0.0,0.0,0.2,RURAL
P.142,SABAH,P.142,TUARAN,7200,5.4,15.2,0.2,18.2,60.8,0.0,0.0,0.0,0.2,RURAL
P.143,SABAH,P.143,JESSELTON,12400,8.2,54.4,2.2,12.4,22.2,0.0,0.0,0.0,0.6,URBAN
P.144,SABAH,P.144,PENAMPANG,7800,2.4,18.2,0.4,8.2,70.6,0.0,0.0,0.0,0.2,RURAL
P.145,SABAH,P.145,KIMANIS,6200,12.4,12.2,0.1,35.1,40.0,0.0,0.0,0.0,0.2,RURAL
P.146,SABAH,P.146,LABUAN-BEAUFORT,10800,25.2,22.4,1.2,32.1,18.8,0.0,0.0,0.0,0.3,SEMI URBAN
P.147,SABAH,P.147,SABAH SELATAN,5800,4.2,8.4,0.1,15.2,71.8,0.0,0.0,0.0,0.3,RURAL
P.148,SABAH,P.148,SABAH DALAM,5400,2.1,6.2,0.1,10.4,80.9,0.0,0.0,0.0,0.3,RURAL
P.149,SABAH,P.149,KINABALU,4800,1.2,4.8,0.1,8.4,85.3,0.0,0.0,0.0,0.2,RURAL
P.150,SABAH,P.150,SANDAKAN,11400,10.4,62.2,1.8,18.4,6.8,0.0,0.0,0.0,0.4,URBAN
P.151,SABAH,P.151,LABUK-SUGUT,4200,2.2,8.2,0.1,42.1,47.2,0.0,0.0,0.0,0.2,RURAL
P.152,SABAH,P.152,KINABATANGAN,3800,1.8,5.4,0.1,65.4,27.1,0.0,0.0,0.0,0.2,RURAL
P.153,SABAH,P.153,DARVEL,6200,8.4,25.2,0.8,48.2,17.2,0.0,0.0,0.0,0.2,RURAL
P.154,SABAH,P.154,TAWAU,9200,12.2,38.4,2.2,28.1,18.8,0.0,0.0,0.0,0.3,SEMI URBAN
